행정구역코드,시도명,시군구명,연도,총인구,고령인구_65세이상,의사수_예측,구급차수,응급시설수_총,의사_인구10만명당,구급차_인구10만명당,응급시설_인구10만명당,취약지수,취약지역_여부,목표_의사수,추가_의사수,목표_구급차수,추가_구급차수,목표_응급시설수,추가_응급시설수
41360,경기도,남양주시,2025,721670.2703,133509.0,1470.466667,12.0,4.0,203.7587978,1.662809249,0.55426975,0.925376435,1.0,2815.584031,1346.0,93.6930786,82.0,19.94172499,16.0
41250,경기도,동두천시,2025,88755.81395,22899.0,190.4,4.0,1.0,214.5211581,4.50674702,1.126686755,0.904110956,1.0,346.2792673,156.0,11.52299851,8.0,2.452566091,2.0
41190,경기도,부천시,2025,783279.1878,154306.0,2629.933333,11.0,6.0,335.7593786,1.404352391,0.766010395,0.900770973,0.0,3055.950154,427.0,101.6916472,91.0,21.64414803,16.0
41130,경기도,성남시,2025,903418.4783,166229.0,4656.8,17.0,8.0,515.4643293,1.881741453,0.88552539,0.847803606,0.0,3524.67151,0.0,117.2891028,101.0,24.96392548,17.0
41110,경기도,수원시,2025,1235486.301,180381.0,4343.6,17.0,8.0,351.5700656,1.375976405,0.647518308,0.866519545,0.0,4820.228357,477.0,160.4008367,144.0,34.1398684,27.0
41390,경기도,시흥시,2025,568271.3178,73307.0,1136.8,8.0,3.0,200.045289,1.407778248,0.527916843,0.89598425,0.0,2217.100681,1081.0,73.77758436,66.0,15.70289204,13.0
41270,경기도,안산시,2025,688668.8312,106055.0,1892.6,12.0,6.0,274.8200462,1.742492103,0.871246052,0.873349574,0.0,2686.829489,795.0,89.40856452,78.0,19.0298049,14.0
41550,경기도,안성시,2025,211905.4726,42593.0,371.8666667,7.0,2.0,175.4870519,3.303359707,0.943817059,0.902083134,0.0,826.7455228,455.0,27.51128448,21.0,5.855528258,4.0
41170,경기도,안양시,2025,538580.6452,100176.0,1864.6,8.0,3.0,346.206277,1.485385721,0.557019645,0.901215523,0.0,2101.263037,237.0,69.9229008,62.0,14.88245748,12.0
41630,경기도,양주시,2025,301575.419,53982.0,485.5333333,7.0,1.0,160.998975,2.321144085,0.331592012,0.933575868,1.0,1176.591262,692.0,39.15296306,33.0,8.333354329,8.0
41830,경기도,양평군,2025,124588.6076,39370.0,214.6666667,8.0,1.0,172.3003979,6.421132842,0.802641605,0.923673009,1.0,486.0802897,272.0,16.17510196,9.0,3.442724264,3.0
41670,경기도,여주시,2025,117666.6667,31064.0,241.2,6.0,2.0,204.9858357,5.099150142,1.699716714,0.883907826,0.0,459.0744573,218.0,15.27643954,10.0,3.251452089,2.0
41800,경기도,연천군,2025,40346.50456,13274.0,73.8,6.0,1.0,182.9154739,14.87117674,2.478529456,0.824952766,0.0,157.4111871,84.0,5.238109949,0.0,1.114884361,1.0
41370,경기도,오산시,2025,256703.125,32858.0,502.8666667,5.0,2.0,195.894252,1.947775275,0.77911011,0.869829269,0.0,1001.522786,499.0,33.32727848,29.0,7.093410017,6.0
41460,경기도,용인시,2025,1080455.621,182597.0,2446.933333,19.0,4.0,226.472359,1.758517391,0.370214188,0.920981229,1.0,4215.37885,1769.0,140.2734983,122.0,29.85594635,26.0
41430,경기도,의왕시,2025,152856.383,28737.0,235.4,4.0,0.0,154.0007656,2.616835439,0.0,0.950399054,1.0,596.3665246,361.0,19.84505347,16.0,4.223840275,5.0
